This file was created by CMPT_ME_BRKPTS using the 202111 CRSP database.  It contains every 5th NYSE ME percentile (divided by 1000000).
192512,  487,      1.40,      2.38,      3.37,      4.95,      5.95,      7.40,      8.89,     10.81,     13.01,     15.61,     18.55,     22.88,     29.92,     38.41,     49.93,     65.75,     92.72,    142.48,    238.78,   1319.00
192601,  491,      1.38,      2.54,      3.76,      4.84,      5.94,      7.47,      9.28,     10.94,     12.71,     15.90,     17.75,     23.45,     30.40,     39.00,     50.85,     66.82,     94.69,    139.18,    235.20,   1331.71
192602,  499,      1.29,      2.34,      3.57,      4.69,      5.61,      7.15,      8.45,     10.53,     12.15,     14.62,     17.03,     21.18,     27.62,     36.55,     46.49,     61.43,     87.51,    138.04,    223.02,   1366.39
192603,  503,      1.12,      2.05,      3.08,      4.15,      5.01,      6.01,      7.39,      9.00,     10.68,     13.20,     15.65,     19.04,     24.80,     31.90,     44.40,     58.24,     81.92,    130.12,    205.20,   1322.46
192604,  505,      1.31,      2.35,      3.32,      4.37,      5.03,      6.63,      8.13,      9.60,     11.66,     13.75,     15.81,     19.17,     25.60,     33.10,     45.00,     57.73,     83.63,    133.50,    211.20,   1350.21
192605,  509,      1.14,      2.25,      3.15,      4.20,      5.10,      6.56,      7.96,      9.68,     11.55,     13.27,     15.62,     18.87,     25.65,     33.77,     45.60,     57.81,     85.27,    125.90,    209.25,   1382.58
192606,  510,      1.08,      2.20,      3.44,      4.33,      5.20,      6.87,      8.25,      9.79,     12.00,     13.60,     15.50,     19.50,     26.52,     34.67,     47.32,     59.40,     84.30,    135.34,    219.45,   1510.46
192607,  506,      1.08,      2.04,      3.15,      4.25,      5.28,      6.90,      8.52,     10.07,     12.04,     13.80,     16.12,     19.67,     27.10,     34.88,     49.09,     65.49,     88.43,    136.50,    225.73,   1521.25
192608,  517,      1.07,      2.35,      3.34,      4.27,      5.38,      6.81,      8.78,     10.31,     12.25,     14.52,     16.50,     20.05,     26.99,     34.73,     47.43,     60.90,     87.84,    133.70,    233.62,   1561.71
192609,  514,      1.06,      2.29,      3.12,      4.23,      5.18,      6.64,      8.75,      9.90,     12.30,     13.80,     17.09,     20.30,     26.18,     33.67,     47.07,     60.32,     85.40,    133.80,    232.57,   1576.54
192610,  521,      0.94,      1.98,      3.09,      3.95,      4.94,      6.21,      8.05,      9.41,     11.60,     13.13,     15.72,     19.34,     25.65,     31.15,     45.96,     56.67,     79.15,    126.50,    227.11,   1581.94
192611,  520,      0.96,      1.97,      2.90,      3.98,      5.10,      6.42,      8.10,     10.12,     12.07,     13.98,     17.00,     19.84,     26.21,     31.67,     44.37,     57.87,     80.90,    131.73,    234.94,   1608.91
