"parcel_id","Easting","Northing","Pyerite","Mexallon","Tritanium","Megacyte","Nocxium","Isogen","Veldspar","Plagioclase","Hedbergite","Spudumain","Gneiss","Arkonor","Mercoxit","Bistot","Crokite","gold_available"
4,3.5,0.5,133.27169273141,108.255699438836,95.8811352976227,129.695440050709,111.14553185163,138.742494950711,109.816062350005,148.298489851825,130.352913419694,145.596831770411,114.181143289216,105.515728325861,107.604397215088,94.1168707000032,108.02448820839,3901.51787841211
9,8.5,0.5,144.446857472785,110.173243828945,97.8410364828412,104.655590477311,104.429629363656,123.081045150407,104.578076695331,117.52165146957,128.958155472125,126.251966253965,119.66617332817,116.793372344972,109.626584008691,130.856899641885,113.132974723375,17523.5303284202
11,10.5,0.5,145.699045273929,110.632054587666,116.203805689905,158.597414831102,118.837598305785,109.343994150076,98.5723375698279,148.772477795467,129.746619833367,149.726788750733,119.893751992256,103.668990680256,114.768363705075,119.50311772282,106.386003878328,4537.82394420075
14,13.5,0.5,126.2608380058,116.730740882638,120.167020039929,116.643670588618,127.243058382474,103.684628072569,117.28667601613,101.196534773453,191.688236686815,178.005451603401,138.91739909999,101.045499979692,107.51540639894,104.587679964611,105.245322885924,21601.105929638
17,16.5,0.5,107.376310969021,98.9368160705231,120.778547801314,98.7748548794661,119.903661872696,121.310773293092,121.410151696188,167.341284241656,158.548722575338,178.468593112698,131.625687409333,109.364686273907,101.883250140692,111.562985278501,104.274717253437,21186.8621924787
18,17.5,0.5,91.9580601480397,110.68190905789,98.0557328810975,111.387550036212,105.708339732109,129.003011012937,101.665356945245,175.910978430916,114.813930527988,184.339985455581,104.648326842897,103.642628021994,104.924009057457,123.293552678395,102.416568712457,8731.34060373988
22,21.5,0.5,105.74116476464,109.666149036115,108.292854489877,140.157803555835,103.624923336647,111.464844182463,105.116081806082,127.162264031674,129.69565683135,130.557200133002,111.82144132819,109.756620216035,105.660429645652,104.011803165119,104.026637608083,5496.98937619935
24,23.5,0.5,131.113068565409,118.289001841805,107.513949682345,124.780394489399,103.460232474702,73.902554415107,100.757713277212,100.964214516138,120.451769799209,138.899954245635,115.679127181479,123.013533112047,107.189176185596,104.427919278406,109.767770333756,8823.25383108338
33,32.5,0.5,105.038109147377,109.590771513777,107.2554592832,105.593164220609,110.626785111238,102.190813812307,107.884505994986,116.647157068029,160.221349765659,185.19894241392,99.2781997250483,94.7414130065736,112.230129873981,104.330390607037,109.632131656815,9598.93352107974
34,33.5,0.5,115.959843044947,105.029199226694,105.592520446522,120.16829330422,102.873339272596,96.5764581464703,105.066381552109,161.377523343269,172.431937490187,154.365086766515,104.397619441864,117.706749066403,118.89823273783,127.289916445281,103.398600527451,4380.33009648464
41,40.5,0.5,100.840965380444,101.155800742283,101.133389485479,103.988402123185,101.412567489573,105.230470974353,102.539195670625,160.48755086185,139.941822846691,142.057461931779,79.4412249702393,104.581101733398,104.351818384005,110.154536514848,106.782052193786,4225.71815908733
44,43.5,0.5,82.7001295965088,117.165509264176,119.568003390713,126.197751365654,104.294825937701,99.909314410869,109.241238921542,117.613003097973,139.741331240751,131.033082704463,114.526071959655,130.790708424209,113.549172701113,133.798643813068,108.66409561344,16045.2104584839
46,45.5,0.5,115.994413218088,103.024311409169,96.5646931061415,131.388628221879,120.737520277509,137.915924897624,96.8601398109112,130.617939257852,137.108102344472,143.264925611656,106.066202929258,108.692706779515,123.623251599842,121.684022691087,110.07307538146,5069.33977766072
52,51.5,0.5,143.296913487294,109.626975723675,103.293393394439,105.72135575501,113.18671292275,142.827000854144,108.089821988799,104.675607621179,154.448618227734,159.771483165647,108.745562678809,123.493427412404,101.818704692085,112.318983730596,115.50111452589,8703.22800802915
64,63.5,0.5,100.312674045834,118.016580979537,126.799594459984,102.092310561795,119.71131926942,132.217458781747,102.86827328912,132.484236269531,127.691533256137,120.351685338956,106.049424750715,103.841219554823,114.682535234298,110.496542102417,108.879128391783,22685.402305483
69,68.5,0.5,109.523029067756,99.8456773009118,115.717970917659,102.266150923163,112.030142178928,108.269848101269,101.486731743877,106.334422795812,117.954193730985,128.705367331823,103.025716185832,102.327524223611,112.761687065621,105.655653977675,110.264227265221,18407.8495461239
87,86.5,0.5,159.546083279594,97.2502467898313,89.9912114122567,115.108818089293,112.178454227455,114.490719298203,105.871837448718,88.2826070303688,143.391300431083,133.472897955099,120.652668210453,115.136784137784,121.730194778595,134.958898826237,103.356921257933,17919.8989336439
91,90.5,0.5,108.785960647409,104.986270276654,104.702791533281,97.0361017674803,126.066544399107,116.418130063741,108.707404349165,121.723746330005,122.602572560796,140.83956350807,109.86355070056,106.418171043631,118.494662807474,115.265600523305,108.930022889325,22162.1743900767
93,92.5,0.5,162.366923909548,121.730112743141,92.6814758338478,114.725700710548,115.648939615005,106.087247853862,102.664430114551,117.573738162084,119.875120999134,131.032418296536,105.593153796666,107.350214179036,111.30691304747,112.419967051609,104.673616959695,12065.4476088563
105,104.5,0.5,120.962150094767,107.075584515519,106.241529534287,102.752851511284,114.69187502283,112.34193567923,105.117907402776,136.502831046774,124.68584913039,117.418270190173,104.710803339552,117.278395375111,114.242041835586,122.619610796617,110.4675432595,16058.0111732006
109,108.5,0.5,107.012517795189,114.731282224912,111.945941098458,129.358718066093,105.694319344018,100.507247304731,113.366797877648,163.354490292445,136.018710833903,161.995136290127,124.946218659173,113.500077208062,119.139188014937,130.524450218631,115.656227844542,10017.9556497692
112,111.5,0.5,109.093396600262,103.782803906595,100.320464309255,112.971298682424,109.822762471007,105.896975534122,114.209427954467,139.477626668053,149.90919450995,141.84920177927,103.890568218198,119.572256999323,113.847681536927,121.449462679968,109.595417737735,8419.50279932559
114,113.5,0.5,110.906314632468,101.742438392266,107.44190041658,105.238014197651,104.469065256321,103.256146306142,104.610041663638,197.549603902865,171.804815117948,170.778659124293,116.402732925396,106.066888862245,114.059973666245,116.183111811173,106.673873092971,4693.06879926911
115,114.5,0.5,102.282397346731,100.656315101252,103.142980140589,108.138310211202,101.157432289743,99.9370412689639,102.64081891662,198.499280850861,127.133073814097,171.965818282896,101.499489482542,97.4361165484129,107.86649636594,101.871592709323,105.718853538325,4141.43855871369
116,115.5,0.5,108.811068765086,102.319521148665,103.246708656804,109.280087800671,103.373824937393,106.319940198738,110.126573183891,137.734765863227,161.306998759866,129.091009210401,97.0871383441204,105.671699248055,113.674689376583,105.533457007519,104.747069109307,6098.9390912151
121,120.5,0.5,124.644973570755,104.114868817931,106.836318736792,108.51125921082,114.077107803339,123.822029203915,106.154305232711,111.987530421637,131.01216024121,136.260783927112,103.399181813007,110.147094270456,116.710446864429,100.358102035317,96.8170838513085,12205.0132224332
128,127.5,0.5,118.863300772593,108.698668065752,100.084065840969,110.951624547857,110.662161159814,113.237458941019,103.245926007596,170.605068620001,153.549951559395,153.814593342285,128.16227084703,104.98464116217,107.763082084184,120.414713550121,115.042776703426,8682.41373766998
133,132.5,0.5,115.78571107128,108.178380380923,106.334517203813,50.5982789641219,125.890116564617,80.4525408998113,99.8117315875692,125.804860021778,118.886476210634,136.94390326343,102.945303291518,100.574310227659,101.945531275724,103.057694282373,102.5652912556,25112.9732067471
136,135.5,0.5,82.6523152790957,113.527089221216,103.965069584588,141.615623302057,109.831696202271,119.533213900813,107.178314462465,129.144067513963,148.780931012301,146.135313299705,113.820978824413,100.252049714721,100.543173471738,101.644238686369,103.013813137266,6115.79285166359
138,137.5,0.5,103.385193144718,101.279654996316,105.45052955715,100.631740629204,100.988260756822,113.618990935243,109.622881186643,153.806352203609,128.542237559216,151.330680067891,128.952810550802,99.7996003072538,104.083429614828,99.3060780204733,101.021109049202,15691.8590048676
