Easting,Northing,elevation,mineral,rock,ore
0.5,0.5,434.64755801441834,6.692847569717244,7.923216716744094,4.438655519455766
1.5,0.5,709.2053310195565,7.963318184954872,7.578798523017966,3.957028748394425
2.5,0.5,1000.2521757781362,6.836969623242086,5.426389934913385,3.943115288625779
3.5,0.5,296.8096854570141,5.571042465110432,4.918018196457324,4.087723474022977
4.5,0.5,412.2890431632731,4.004803224557746,2.864118630147583,2.88056238539325
5.5,0.5,123.0261882720373,3.3246191133679037,5.639511470742618,2.527173505786508
6.5,0.5,325.8608347535065,3.254034120927858,6.664817858559863,2.43261642632308
7.5,0.5,-14.942338066283753,4.676300648665777,5.552189353373136,1.2480881132775874
8.5,0.5,102.63286295059379,4.006388970184963,5.421912670470935,3.5878513341918765
9.5,0.5,47.14537307587182,6.226635213735863,6.351232904315948,2.2312320795812957
10.5,0.5,385.4902539710625,6.986576138414735,5.3617350856726365,4.672517236765858
11.5,0.5,51.84905367598748,6.953944631394883,3.186007593808529,3.700395630559545
12.5,0.5,494.71554875002556,8.366830926536824,5.095483896519572,6.141335135102688
13.5,0.5,707.9880966888231,7.810260465288417,3.0467831818632716,9.341981058041654
14.5,0.5,499.38773717104044,6.312518152942493,2.5499588835990328,9.156199045245959
15.5,0.5,450.7211614981262,7.677614601203585,3.544094178647552,9.001965896564688
16.5,0.5,-121.55008803756664,6.125652725646216,3.430080793002354,6.685383088616614
17.5,0.5,-44.743388243447896,5.476437399627083,4.500422346371275,6.364658842376716
18.5,0.5,548.409087496678,1.9847324336882917,3.773216501885951,5.446998303794549
19.5,0.5,574.1762730998324,4.556672416171818,5.097132856364391,3.2761422494308845
20.5,0.5,566.7220239653636,3.67214022217241,5.670664890412644,3.260568903031385
21.5,0.5,897.8110000350559,4.207900189766461,4.64231639160465,3.4547052279168287
22.5,0.5,1114.0021378371125,4.526896839265295,4.842618133271956,4.6865233373845445
23.5,0.5,894.7073510052905,6.154135129833217,6.71580419834877,3.4994466956850045
24.5,0.5,194.7719044823192,5.4360556876847905,7.334531208491031,2.4692174484778304
25.5,0.5,101.8350381611798,4.915390964530469,6.7691935754955725,2.228754284646769
26.5,0.5,17.04447993509308,3.618888417762791,7.686982263308806,2.252656562994859
27.5,0.5,927.119845454432,5.2841815916916195,9.638289649324053,3.7476980310831993
28.5,0.5,1196.0008987111978,5.622757843239502,9.233257884711836,5.832262814266678
29.5,0.5,1024.442885340441,3.9603303136083734,8.561765711155761,5.421386080093388
30.5,0.5,838.0175780445804,4.30328369307621,7.827398059099852,5.658107145884153
31.5,0.5,708.3357222806956,5.7452369023845264,6.2582471596415825,8.450655673245022
32.5,0.5,635.6172997869078,2.3829654275909764,7.013290480554222,8.273355328614283
33.5,0.5,-73.30866092327079,2.9672856251264084,6.319253640554656,5.806544168465975
34.5,0.5,583.1034762383822,3.1371229254019277,6.67938093458272,6.785866746465221
35.5,0.5,422.3631417341551,1.7074556061320219,6.308554399872176,6.1754198713255315
36.5,0.5,601.5320703751435,-0.6078928025948747,4.529800545827987,5.280955764057149
37.5,0.5,419.9297085427942,0.5646707974096632,3.2717800849210357,6.0422380533499584
38.5,0.5,155.60753153416587,1.4082047363788792,3.4251437914275824,4.95550668072757
39.5,0.5,681.1952032842089,2.3296131664579023,4.052946533179064,5.356106259428929
40.5,0.5,711.5890935001568,0.5944921739084625,4.266974565133089,5.833112278563287
41.5,0.5,1242.3844826151123,2.4332509556694393,6.941281675539371,5.934306128352329
42.5,0.5,1480.7796764352443,2.990771193315518,7.811885872865567,6.566897062467605
43.5,0.5,1114.09261690012,4.86847268262677,5.772629414569213,4.092851391799319
44.5,0.5,952.1804091161385,4.570271344371638,7.780294458272775,4.585210387693375
45.5,0.5,745.9684010870506,7.3384545824758725,8.582593011137657,4.774398984229246
46.5,0.5,922.9992947362382,7.346132362307549,9.317220985936002,2.5934401473504116
47.5,0.5,541.615669301676,6.326984379128972,9.799667721629621,4.34241224051717
48.5,0.5,497.4595649106926,5.421005367869752,6.492346204282668,4.356487920167067
49.5,0.5,233.21453519707836,4.858292011035778,7.6013774908174305,6.110319673481948
50.5,0.5,169.7658634089121,4.516137219264904,6.586542694337535,6.768943323239149
51.5,0.5,223.421067314307,5.157923533199163,4.88826743983686,5.86210896354467
52.5,0.5,101.89247249794823,5.9767326910044405,4.775116297621118,4.6981086285791696
53.5,0.5,679.3471259280341,3.460668681889728,6.373547585697647,4.026895822198576
54.5,0.5,685.8956990155053,4.9121087722401,5.6571484030185095,3.9678118713914614
55.5,0.5,563.5737227360509,3.7452449848115945,4.850005712526428,2.397424321016142
56.5,0.5,590.5185662797289,3.896578327824132,6.369278042972028,2.104581790717277
57.5,0.5,21.390513830923737,4.820936135201561,6.59550552802888,2.8037783059286907
58.5,0.5,725.431671014128,6.66256158250539,6.8134069704974145,3.729092430902872
59.5,0.5,785.9755639767893,6.279768738744778,6.399600085924041,1.8556344040424344
60.5,0.5,839.6372717050275,8.013700075967824,6.920515302474907,-0.6824334484936898
61.5,0.5,773.5455844886055,9.44936916364068,6.235450752261285,-0.5342693812072117
62.5,0.5,320.44318688746665,8.423657593158513,6.976624622697864,1.6460140276401352
63.5,0.5,463.80137774920496,8.998207934319437,7.232827114647318,2.570042347972642
64.5,0.5,797.5684781516115,8.159560165540489,4.64331619461292,5.841688505164747
65.5,0.5,665.528578202493,7.633956649038452,3.814626874096965,6.8342663712745635
66.5,0.5,870.4418393453404,6.176386316810173,3.1804060825809928,6.377546642955628
67.5,0.5,391.72151339742464,4.7437769155826235,4.314054873597236,3.238209742740548
68.5,0.5,418.6668212345098,6.725864889875272,3.836965869499464,3.07810446987253
69.5,0.5,637.7412966264212,4.4273966701314045,3.6736712750500464,3.2133540505548224
